event_id,ticker,car_s1_0_1,car_s1_0_2,car_s1_0_5,car_s1_0_20
AIT-2022-04-002,MPWR,-0.05155660,-0.05822908,-0.01816204,0.17697265
AIT-2022-04-002,MRVL,-0.05654229,-0.06185496,-0.04929867,0.01221627
AIT-2022-04-002,MSFT,-0.01203540,-0.03054299,-0.04437406,0.01104407
AIT-2022-04-002,MSTR,-0.00719263,-0.00221947,0.04288106,-0.18604277
AIT-2022-04-002,MTSI,-0.04280344,-0.02307576,-0.01343384,0.12173566
AIT-2022-04-002,MU,-0.02413626,0.00231296,-0.01528888,0.09430085
AIT-2022-04-002,NFLX,-0.03423946,-0.03076795,-0.03867332,-0.47165114
AIT-2022-04-002,NVDA,-0.06158962,-0.07331578,-0.09480373,-0.08563344
AIT-2022-04-002,NXPI,-0.04037027,-0.02157735,0.01594047,0.17931213
AIT-2022-04-002,ODFL,-0.01461083,-0.00225448,0.02640933,0.14651356
AIT-2022-04-002,ON,-0.02764603,-0.00119440,0.01984841,0.15637318
AIT-2022-04-002,ORLY,0.04617469,0.04021870,0.02664750,-0.09513650
AIT-2022-04-002,PANW,-0.00541756,0.01937999,0.04447082,-0.12119256
AIT-2022-04-002,PAYX,-0.01768001,-0.01958862,-0.01849655,-0.06455375
AIT-2022-04-002,PCAR,-0.00693899,0.00012427,0.01725784,0.07349157
AIT-2022-04-002,PDD,-0.05809093,-0.01919748,-0.04368240,0.14107244
AIT-2022-04-002,PEP,0.00223578,0.00507473,0.00108801,0.00828853
AIT-2022-04-002,PLTR,-0.02073509,0.01192639,0.01355643,-0.07566622
AIT-2022-04-002,PYPL,-0.00538061,0.01370780,-0.03430051,-0.07358922
AIT-2022-04-002,QCOM,-0.02349496,-0.00413249,0.01501650,0.14785014
AIT-2022-04-002,REGN,0.03914413,0.02432248,0.03824328,-0.10921198
AIT-2022-04-002,RKLB,-0.03558930,-0.00874301,0.07171258,-0.09167864
AIT-2022-04-002,ROP,0.00440925,0.01442315,-0.02292124,-0.02135366
AIT-2022-04-002,ROST,0.02828553,0.08268741,0.12787780,0.17055877
AIT-2022-04-002,SBUX,-0.02173535,-0.01114490,-0.01562752,0.04387892
AIT-2022-04-002,SHOP,-0.08095488,-0.00811277,-0.04502753,-0.21757911
AIT-2022-04-002,SNPS,-0.02047757,-0.02306314,-0.06531165,-0.03459124
AIT-2022-04-002,STX,-0.01558632,-0.00193266,-0.03405937,0.04941050
AIT-2022-04-002,TER,-0.02577804,-0.00739709,-0.00776986,0.11600123
AIT-2022-04-002,TMUS,-0.00603381,-0.01420805,0.01069123,0.01453359
AIT-2022-04-002,TRI,0.00427194,0.00502868,-0.00211952,-0.08313869
AIT-2022-04-002,TSLA,-0.02813504,-0.04837718,-0.03664150,-0.08083753
AIT-2022-04-002,TSM,-0.02036199,-0.01692880,-0.00020093,0.01186713
AIT-2022-04-002,TTWO,-0.04029539,-0.03473528,-0.04791102,-0.18102744
AIT-2022-04-002,TXN,-0.01954077,-0.01229540,0.00430824,0.05090454
AIT-2022-04-002,UMC,-0.03518181,-0.04000283,-0.04595738,0.03425038
AIT-2022-04-002,VRTX,0.02482014,0.03474681,0.05772593,-0.05551265
AIT-2022-04-002,WBD,0.02197729,0.05538870,0.06854458,-0.18045454
AIT-2022-04-002,WDAY,-0.00830697,0.00822260,0.00443148,-0.07406077
AIT-2022-04-002,WDC,-0.01292530,0.00807392,0.00643820,0.37862956
AIT-2022-04-002,WMT,0.01452665,-0.00141366,0.01730226,-0.01627740
AIT-2022-04-002,XEL,-0.00326767,-0.00602413,-0.00603646,-0.01333634
AIT-2022-10-001,AAPL,-0.00430568,-0.00520262,0.00536390,-0.04727552
AIT-2022-10-001,ABNB,-0.07022570,-0.08132338,-0.12863492,-0.31295519
AIT-2022-10-001,ADBE,-0.00527818,-0.00330358,-0.00923683,0.00636109
AIT-2022-10-001,ADI,-0.03030757,-0.03866790,-0.06437939,0.01387090
AIT-2022-10-001,ADP,-0.00297063,-0.01485113,-0.00693508,0.01583139
AIT-2022-10-001,ADSK,-0.01302509,0.00265309,-0.01259751,-0.06489134
AIT-2022-10-001,AEP,0.00759170,0.01662111,0.03313063,0.04948026
AIT-2022-10-001,ALNY,-0.02790177,-0.03331575,-0.02133574,-0.01781658
AIT-2022-10-001,AMAT,0.01787809,0.02201791,0.03118146,0.17523290
AIT-2022-10-001,AMD,-0.05562184,-0.03964816,-0.04734193,0.11665602
AIT-2022-10-001,AMGN,0.04118574,0.02980630,0.07630327,0.11626030
AIT-2022-10-001,AMZN,-0.02269843,-0.04344296,-0.21297862,-0.33601121
AIT-2022-10-001,APP,-0.07845142,-0.04515520,-0.13359987,-0.30628128
AIT-2022-10-001,ASML,0.01766720,0.01790516,0.00729226,0.19151997
AIT-2022-10-001,ASX,-0.00259255,-0.00661549,-0.00297859,0.15307500
